stock_code,stock_name,decision_date,structural_regime,monthly_behavior_state,tactical_signal,cbi_score,cost_position,chip_stability_confidence,mtf_regime,qcfp_score,structure_behavior_alignment,market_context,evidence_summary,ai_check,data_quality,align_method
00371,北控水务,2012-09-14,STRUCTURAL_DIVERGENCE,Deteriorating,Consolidation,39.323589574955506,COST_DISADVANTAGE,Medium,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,C,fallback
00700,腾讯控股,2012-09-14,STRUCTURAL_DIVERGENCE,Improving,Consolidation,51.198442991585814,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,fallback
01093,石药集团,2012-09-14,STRUCTURAL_DECLINE,Deteriorating,Pullback,16.260948107377832,COST_DISADVANTAGE,Low,BEARISH_CONFIRMED,20.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Deteriorating(B); 触发:Pullback(C); 置信度:Low,PASSED,C,fallback
00268,金蝶国际,2012-09-14,STRUCTURAL_DECLINE,Stable,Consolidation,12.589113725997455,COST_NEUTRAL,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
00354,中软国际,2012-09-21,STRUCTURAL_DECLINE,Stable,Consolidation,29.457030774425142,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
00268,金蝶国际,2012-09-21,STRUCTURAL_DECLINE,Stable,Consolidation,12.589113725997455,COST_NEUTRAL,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
03800,协鑫科技,2012-09-21,STRUCTURAL_ACCUMULATION,Improving,Consolidation,35.26188582464625,COST_NEUTRAL,Low,BULLISH_STABLE,75.0,Aligned,neutral,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,matrix
00371,北控水务,2012-09-21,STRUCTURAL_DIVERGENCE,Deteriorating,Consolidation,39.323589574955506,COST_DISADVANTAGE,Medium,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,C,fallback
00357,美兰空港,2012-09-21,STRUCTURAL_DECLINE,Improving,Consolidation,93.51501548673362,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Divergence,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
01093,石药集团,2012-09-21,STRUCTURAL_DECLINE,Deteriorating,Pullback,16.260948107377832,COST_DISADVANTAGE,Low,BEARISH_CONFIRMED,20.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Deteriorating(B); 触发:Pullback(C); 置信度:Low,PASSED,C,fallback
01177,中生制药,2012-09-21,STRUCTURAL_BOTTOM_CANDIDATE,Stable,Pullback,28.38006006270266,COST_DISADVANTAGE,Medium,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_BOTTOM_CANDIDATE(A/A-); 阶段:Stable(B); 触发:Pullback(C); 置信度:Medium,PASSED,C,fallback
00700,腾讯控股,2012-09-21,STRUCTURAL_DIVERGENCE,Improving,Consolidation,51.198442991585814,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,fallback
00700,腾讯控股,2012-09-28,STRUCTURAL_DIVERGENCE,Improving,Consolidation,51.198442991585814,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,fallback
00357,美兰空港,2012-09-28,STRUCTURAL_DECLINE,Improving,Consolidation,93.51501548673362,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Divergence,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
00371,北控水务,2012-09-28,STRUCTURAL_DIVERGENCE,Deteriorating,Consolidation,39.323589574955506,COST_DISADVANTAGE,Medium,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DIVERGENCE(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Medium,PASSED,C,fallback
03800,协鑫科技,2012-09-28,STRUCTURAL_ACCUMULATION,Improving,Consolidation,35.26188582464625,COST_NEUTRAL,Low,BULLISH_STABLE,75.0,Aligned,neutral,结构:STRUCTURAL_ACCUMULATION(A/A-); 阶段:Improving(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,matrix
01093,石药集团,2012-09-28,STRUCTURAL_DECLINE,Deteriorating,Consolidation,16.260948107377832,COST_DISADVANTAGE,Low,BEARISH_CONFIRMED,20.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Deteriorating(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,fallback
00354,中软国际,2012-09-28,STRUCTURAL_DECLINE,Stable,Consolidation,29.457030774425142,COST_DISADVANTAGE,Low,BULLISH_WARNING,55.0,Aligned,neutral,结构:STRUCTURAL_DECLINE(A/A-); 阶段:Stable(B); 触发:Consolidation(C); 置信度:Low,PASSED,C,tactical_override
