stock_code,stock_name,decision_date,structural_regime,monthly_behavior_state,tactical_signal,chip_stability_confidence,mtf_regime,qcfp_score,structure_behavior_alignment,market_context,data_quality,catalyst_score,align_method,des_score,des_band,risk_override_active,alignment_override,action_signal,base_action,base_target,final_action,final_target,risk_level,risk_reasons,engine_source,authority,ledger_run_id,ledger_decision_id,ledger_status
00788,中国铁塔,2026-08-21,STRUCTURAL_DIVERGENCE,Improving,Consolidation,Medium,BULLISH_WARNING,0.0,Aligned,risk_on,A,2.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,COOLDOWN,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-21_003758,00788_2026-08-21,PROJECTED
00357,美兰空港,2026-08-28,STRUCTURAL_ACCUMULATION,Improving,Consolidation,Medium,BULLISH_STABLE,0.0,Aligned,neutral,B,2.0,matrix,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,SETUP_ABSENT,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00357_2026-08-28,PROJECTED
02602,港股万物云,2026-08-28,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,High,BULLISH_WARNING,0.0,Aligned,neutral,A,1.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,SETUP_ABSENT,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,02602_2026-08-28,PROJECTED
03800,协鑫科技,2026-08-28,STRUCTURAL_BOTTOM_CANDIDATE,Deteriorating,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,B,0.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,03800_2026-08-28,PROJECTED
03033,南方恒生科技,2026-08-28,,Deteriorating,Consolidation,Low,DATA_INSUFFICIENT,0.0,Aligned,neutral,,-1.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,03033_2026-08-28,PROJECTED
00354,中软国际,2026-08-28,STRUCTURAL_DECLINE,Deteriorating,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,B,-1.0,tactical_override,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00354_2026-08-28,PROJECTED
02202,港股万科企业,2026-08-28,STRUCTURAL_DECLINE,Improving,Consolidation,Low,BULLISH_WARNING,0.0,Divergence,neutral,B,0.0,tactical_override,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,02202_2026-08-28,PROJECTED
01177,中生制药,2026-08-28,STRUCTURAL_DECLINE,Deteriorating,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,B,0.0,tactical_override,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,01177_2026-08-28,PROJECTED
00700,腾讯控股,2026-08-28,STRUCTURAL_DECLINE,Stable,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,B,1.0,tactical_override,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00700_2026-08-28,PROJECTED
01951,锦鑫生殖,2026-08-28,STRUCTURAL_DECLINE,Improving,Consolidation,Medium,BULLISH_WARNING,0.0,Divergence,neutral,A,0.0,tactical_override,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,01951_2026-08-28,PROJECTED
00020,商汤科技,2026-08-28,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,A,-1.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00020_2026-08-28,PROJECTED
00788,中国铁塔,2026-08-28,STRUCTURAL_DIVERGENCE,Improving,Consolidation,Medium,BULLISH_WARNING,0.0,Aligned,neutral,A,2.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00788_2026-08-28,PROJECTED
02611,国泰海通,2026-08-28,STRUCTURAL_BULLISH,Stable,Consolidation,Medium,BULLISH_STABLE,0.0,Aligned,neutral,B,1.0,matrix,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,02611_2026-08-28,PROJECTED
00371,北控水务,2026-08-28,STRUCTURAL_BULLISH,Improving,Breakdown,Medium,BULLISH_WARNING,0.0,Aligned,neutral,A,2.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,BREAKDOWN,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00371_2026-08-28,PROJECTED
00268,金蝶国际,2026-08-28,STRUCTURAL_BULLISH,Stable,Consolidation,Low,BULLISH_STABLE,0.0,Aligned,neutral,B,0.0,matrix,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,SETUP_ABSENT,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,00268_2026-08-28,PROJECTED
06060,众安在线,2026-08-28,STRUCTURAL_BOTTOM_CANDIDATE,Improving,Consolidation,Low,BULLISH_WARNING,0.0,Aligned,neutral,A,-1.0,fallback,,,0,0,NO_TRADE,NO_TRADE,0.0,NO_TRADE,0.0,Medium,NONE,ledger,LEDGER_PROJECTION_ONLY,shadow_universe_2026-08-28_003857,06060_2026-08-28,PROJECTED
